id,Start Timestamp,Finish timestamp,Amount of Rainfall (mm),Duration (hour),Average Intensity (mm/h),Maximum Intensity (mm),Next Rainfall Start Timestamp,Amount of Rainfall of Next Rainfall Event
1,02/12/2009 15:30,02/12/2009 20:30,9.6,5,1.92,2.1,03/12/2009 01:00,1.4
2,03/12/2009 01:00,03/12/2009 02:30,1.4,1.5,0.933333333,0.7,03/12/2009 11:30,10.3
3,03/12/2009 11:30,03/12/2009 15:00,10.3,3.5,2.942857143,2.7,05/12/2009 01:30,2.1
4,05/12/2009 01:30,05/12/2009 01:30,2.1,0.5,4.2,2.1,05/12/2009 04:30,19.2
5,05/12/2009 04:30,05/12/2009 06:00,19.2,1.5,12.8,9.6,09/12/2009 18:00,4.2
6,09/12/2009 18:00,09/12/2009 20:30,4.2,2.5,1.68,1.4,10/12/2009 04:00,3.4
7,10/12/2009 04:00,10/12/2009 05:00,3.4,1,3.4,2,10/12/2009 07:30,13.1
8,10/12/2009 07:30,10/12/2009 13:30,13.1,6,2.183333333,4.1,12/12/2009 23:00,8.9
9,12/12/2009 23:00,13/12/2009 03:00,8.9,4,2.225,2.1,13/12/2009 05:30,0.7
10,13/12/2009 05:30,13/12/2009 05:30,0.7,0.5,1.4,0.7,16/12/2009 02:30,50.9
11,16/12/2009 02:30,16/12/2009 09:00,50.9,6.5,7.830769231,17.9,17/12/2009 11:00,9.6
12,17/12/2009 11:00,17/12/2009 14:00,9.6,3,3.2,6.9,18/12/2009 15:30,3.4
13,18/12/2009 15:30,18/12/2009 15:30,3.4,0.5,6.8,3.4,18/12/2009 18:30,2.8
14,18/12/2009 18:30,18/12/2009 19:30,2.8,1,2.8,2.1,19/12/2009 01:30,0.7
15,19/12/2009 01:30,19/12/2009 01:30,0.7,0.5,1.4,0.7,19/12/2009 06:00,1.3
16,19/12/2009 06:00,19/12/2009 06:30,1.3,0.5,2.6,0.7,20/12/2009 19:30,7.6
17,20/12/2009 19:30,20/12/2009 19:30,7.6,0.5,15.2,7.6,20/12/2009 22:00,1.4
18,20/12/2009 22:00,20/12/2009 22:30,1.4,0.5,2.8,0.7,03/01/2010 21:30,0.7
